dx,d2x
51.0,43.5
138.0,15.25
168.5,135.5
439.5,36.0
511.5,-210.75
90.0,161.25
412.5,-172.5
67.5,309.0
685.5,307.5
1300.5,-5.0
1290.5,-22.5
1245.5,-212.75
820.0,-231.0
358.0,-126.25
105.5,685.75
1477.0,7.25
1491.5,393.5
2278.5,146.25
2571.0,1020.0
4611.0,-429.25
3752.5,496.0
4744.5,-715.5
3313.5,-782.0
1749.5,167.0
2083.5,-941.25
201.0,212.75
626.5,-240.5
145.5,163.25
472.0,52.25
576.5,298.25
1173.0,121.0
1415.0,-570.25
274.5,22.25
319.0,58.0
435.0,113.5
662.0,1737.5
4137.0,-306.5
3524.0,-262.25
2999.5,-1099.75
800.0,1062.5
2925.0,761.25
4447.5,-2200.5
46.5,2175.75
4398.0,-1514.25
1369.5,-866.75
-364.0,-866.75
